;;;;;;;;;;
;Číslo;Popis;Typ;Stav;;;;;;
;99;Hodinky náhrdelník;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Vitrína 3;;;;;;;;;
;100;Švarcvaldský stroj 3 ks;;;;;;;;
;101;Hodiny schwarzwald;;;;;;;;
;102;Kukačky;;;;;;;;
;103;Strojek na řetízky 2ks;;;;;;;;
;104;Kukačky vyřezávané;;;;;;;;
;105;Stolní misky na olej;;;;;;;;
;106;Narážečka obdélník sada;;;;;;;;
;107;Narážečka ;;;;;;;;
;108;Hodinářský soustruh;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;Panel 1;;;;;;;;
;;;;;;;;;;
;Číslo;Popis;Typ;Stav;;;;;;
;1;Model Hipp;Hipp;funkční;;;;;;
;2;Podružné hodiny Hipp 1860;Hipp;funkční;;;;;;
;3;Matiční Wagner;nakopávací;funkční;;;;;;
;4;Brillié;pevná cívka;funkční;;;;;;
;5;Matiční Zenith;kyvadlové;funkční;;;;;;
;6;Matiční Ericsson;kyvadlové;funkční;;;;;;
;7;Hodiny Kienzle;kyvadlové;funkční;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;Panel 2;;;;;;;;
;;;;;;;;;;
;Číslo;Popis;Typ;Stav;;;;;;
;1;Matiční Elektročas;;funkční;;;;;;
;2;Selénový usměrňovač;;funkční;;;;;;
;3;Linkový zesilovač;Pragotron;funkční;;;;;;
;4;Linkový zesilovač reléový;Pragotron;funkční;;;;;;
;5;Podružné hodiny velké;Pragotron;funkční;;;;;;
;6;Podružné hodiny malé 4x;Bakelitový kryt;funkční;;;;;;
;7;Strojek Hainz;;funkční;;;;;;
;8;Jednotný čas;stolní;funkční;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;Panel 3;;;;;;;;
;;;;;;;;;;
;Číslo;Popis;Typ;Stav;;;;;;
;1;Matiční T&N;;funkční;;;;;;
;2;Podružné Bürk;;funkční;;;;;;
;3;Perconta;Perconta;funkční;;;;;;
;4;Nástěnné Laplace;Českomoravská;funkční;;;;;;
;5;Nástěnné Laplace kulaté;dřevěný kryt;funkční;;;;;;
;6;Matiční hodiny synchronní;Siemens;funkční;;;;;;
;7;Řetězové;;funkční;;;;;;
;8;Synchronní Spar;;funkční;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;Panel 4;;;;;;;;
;;;;;;;;;;
;Číslo;Popis;Typ;Stav;;;;;;
;1;CPJ 061;;funkční;;;;;;
;2;EH41;;funkční;;;;;;
;3;SH40;;funkční;;;;;;
;4;ZZ42;;funkční;;;;;;
;5;Panel Elektročas;;funkční;;;;;;
;6;ESH 3;;funkční;;;;;;
;7;EH81;;funkční;;;;;;
;8;RL 83;;funkční;;;;;;
;9;Ozubené čtverce;;funkční;;;;;;
;10;Nástěnné Schauer;;funkční;;;;;;
;11;Podružné Pragotron Perla;;funkční;;;;;;
;12;IPJ 0612 3x;;funkční;;;;;;
;13;DPJ57;;funkční;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;Panel 5;;;;;;;;
;;;;;;;;;;
;Číslo;Popis;Typ;Stav;;;;;;
;1;Mini hlavní hodiny HN61;;funkční;;;;;;
;2;Podružné hodiny Mobatime;;funkční;;;;;;
;3;Podružné hodiny Bodet;;funkční;;;;;;
;4;Hodiny DCF;;funkční;;;;;;
;5;Hodiny HN350;;funkční;;;;;;
;6;Hodiny EH101;;funkční;;;;;;
;7;NTP,GPS, PPS server;;funkční;;;;;;
;8;Internetová brána;MKT;funkční;;;;;;
;9;NTP a GPS server;vzorek;nefunkční;;;;;;
;10;Switch;;funkční;;;;;;
;11;Notebook;;funkční;;;;;;
;12;Překlápěcí hodiny zavináč;;funkční;;;;;;
;13;Řídicí systém Gema;;funkční;;;;;;
;14;Podružné hodiny IBM;;funkční;;;;;;
;15;Podružné hodiny IBM strojek;;funkční;;;;;;
;16;Řízení IBM Arduino;;funkční;;;;;;
;17;Lodní hodiny Kappa;;funkční;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;Vitrína 1;;;;;;;
;;;;;;;;;;
;Číslo;Popis;Typ;Stav;;;;;;
;109;Metronom Letná;;funkční;;;;;;
;110;Hodiny Bulle čínské;;funkční;;;;;;
;111;Stolní kyvadlové Art-deco;;funkční;;;;;;
;112;Synchronní Art deco;;funkční;;;;;;
;113;Hodiny Bulle;;funkční;;;;;;
;114;Synchronní bicí - stroj 1;;funkční;;;;;;
;115;Budík s lampičkou porcelán;;funkční;;;;;;
;116;Budík s lampičkou podlouhlou;;funkční;;;;;;
;117;Synchronní Laplace - stroj;;funkční;;;;;;
;118;Electro Boy;;funkční;;;;;;
;119;Synchronní bicí - stroj 2;;funkční;;;;;;
;120;Stolní hodiny Siemens;;funkční;;;;;;
;121;Budík 24 hod.;;funkční;;;;;;
;122;Hodiny Datumatic;;funkční;;;;;;
;123;Hodiny DR Patent;;funkční;;;;;;
;124;Hodiny nástěnné synchro;;funkční;;;;;;
;125;Hodiny nástěnné Otto Rumburg;;funkční;;;;;;
;126;Big Ben electric;;funkční;;;;;;
;127;Stolní Everett Edgecome;;funkční;;;;;;
