parent_key	att_key	pdf_size	pages	cache_words	reason	att_filename
VK9N5RDQ	QSA9SLTI	2778991	12	4040	identical-duplicate (keep first)	Spina - 2023 - Artificial Intelligence in archival and historical scholarship workflow HTS and ChatGPT.pdf
PSW4AYKM	XQ69W4P3	965533	34	0	lower-quality	Zanetti - 2023 - The Diverse Agencies of Renaissance Engineers in the Shadow of War.pdf
T8BI68IG	Z72Y3L7B	1684616	10	0	identical-duplicate (keep first)	Thorndike - 1936 - Milan manuscripts of Giovanni de dondi's astronomical clock and of Jacopo dè Dondi's discussion of t.pdf
D7MVGMHZ	PHBGFWUK	4133693	2	0	identical-duplicate (keep first)	Berto de Padua - MS.  Laud misc. 620  Fol, 101r-v.pdf
AYQWDR6Y	RA5KNFDC	545611	11	6935	identical-duplicate (keep first)	Baggio - 2019 - Un episodio trecentesco di tangenze tra scienza e arte il Tractatus astrarii di Giovanni Dondi e la.pdf
VAW28I9P	KYAL3BFK	MISSING	0	0	broken-attachment-duplicate (all MISSING)	1960 - NPÚ MIS — Blovice publikace, listiny, spisové dokumentyevidence kulturních památek — rozhodnutí o p.pdf
9WJV9CKE	6ZPUI9DK	MISSING	0	0	broken-attachment-duplicate (all MISSING)	1965 - NPÚ MIS — 2. publikace, listiny, spisové dokumentyevidence kulturních památek — evidenční list kult.pdf
9WJV9CKE	GPJWWTZR	MISSING	0	0	broken-attachment-duplicate (all MISSING)	1965 - NPÚ MIS — 2. publikace, listiny, spisové dokumentyevidence kulturních památek — evidenční list kult.pdf
9WJV9CKE	WWLELGDW	MISSING	0	0	broken-attachment-duplicate (all MISSING)	1965 - NPÚ MIS — 2. publikace, listiny, spisové dokumentyevidence kulturních památek — evidenční list kult.pdf
ZIM5LVVS	AMRGDDF2	MISSING	0	0	broken-attachment-duplicate (all MISSING)	1970 - NPÚ MIS — 2. publikace, listiny, spisové dokumentyevidence kulturních památek — evidenční list kult.pdf
NTLDF6L6	KXR923XY	MISSING	0	0	broken-attachment-duplicate (all MISSING)	1963 - NPÚ MIS — 2. publikace, listiny, spisové dokumentyevidence kulturních památek — evidenční list kult.pdf
995NU2RW	3GRTNKGJ	MISSING	0	0	broken-attachment-duplicate (all MISSING)	1964 - NPÚ MIS — 2. publikace, listiny, spisové dokumentyevidence kulturních památek — evidenční list kult.pdf
995NU2RW	A282HSE2	MISSING	0	0	broken-attachment-duplicate (all MISSING)	1964 - NPÚ MIS — 2. publikace, listiny, spisové dokumentyevidence kulturních památek — evidenční list kult.pdf
995NU2RW	AUX3C8WT	MISSING	0	0	broken-attachment-duplicate (all MISSING)	PDF (NP√ö MIS ‚ÄĒ linked)
995NU2RW	IW8V9YQ8	MISSING	0	0	broken-attachment-duplicate (all MISSING)	1964 - NPÚ MIS — 2. publikace, listiny, spisové dokumentyevidence kulturních památek — evidenční list kult.pdf
995NU2RW	JKS53BW2	MISSING	0	0	broken-attachment-duplicate (all MISSING)	1964 - NPÚ MIS — 2. publikace, listiny, spisové dokumentyevidence kulturních památek — evidenční list kult.pdf
995NU2RW	LVZLNRGW	MISSING	0	0	broken-attachment-duplicate (all MISSING)	1964 - NPÚ MIS — 2. publikace, listiny, spisové dokumentyevidence kulturních památek — evidenční list kult.pdf
995NU2RW	NEBA88F8	MISSING	0	0	broken-attachment-duplicate (all MISSING)	1964 - NPÚ MIS — 2. publikace, listiny, spisové dokumentyevidence kulturních památek — evidenční list kult.pdf
995NU2RW	T5Z8AIBD	MISSING	0	0	broken-attachment-duplicate (all MISSING)	1964 - NPÚ MIS — 2. publikace, listiny, spisové dokumentyevidence kulturních památek — evidenční list kult.pdf
995NU2RW	U34R88QC	MISSING	0	0	broken-attachment-duplicate (all MISSING)	1964 - NPÚ MIS — 2. publikace, listiny, spisové dokumentyevidence kulturních památek — evidenční list kult.pdf
XTGP4ISE	DTM7SSSC	MISSING	0	0	broken-attachment-duplicate (all MISSING)	2005 - NPÚ MIS — Šternberk Počet objektů 1 Počet PP 1 Počet PN 3 Regulativy Průzkumy Kašpárková, Sl. 1.pdf
XTGP4ISE	P95C8M75	MISSING	0	0	broken-attachment-duplicate (all MISSING)	2005 - NPÚ MIS — Šternberk Počet objektů 1 Počet PP 1 Počet PN 3 Regulativy Průzkumy Kašpárková, Sl. 1.pdf
DL8KQVS2	7WQIHLJN	MISSING	0	0	broken-attachment-duplicate (all MISSING)	PDF
ENR2SRHD	TN9WQ8IP	MISSING	0	0	broken-attachment-duplicate (all MISSING)	PDF
VZ6KZA6S	NNZPR9M5	MISSING	0	0	broken-attachment-duplicate (all MISSING)	Skála - 2013 - Nepřesnosti v konstrukci původního astrolábu staroměstského orloje
R5ZUBFPM	VPET9HAW	MISSING	0	0	broken-attachment-duplicate (all MISSING)	Macháček - 2013 - Jak došlo k novému datování vzniku orloje
EQVW9VVP	WI6FIFZU	MISSING	0	0	broken-attachment-duplicate (all MISSING)	Skála - 2013 - Malé závěrkové kolečko na bicím stroji pražského orloje.pdf
XRH6Z8SX	II9EHN4C	MISSING	0	0	lower-quality	Skála - 2016 - Nový pohled na hypotézu o účasti Jana Šindela na stavbě pražského orloje.pdf
