parent_key	att_key	pdf_size	pages	cache_words	reason	att_filename
TJQY45H6	PF7QSV7K	1580733	22	6236	identical-duplicate (keep first)	Struever - 1993 - Petrarch's Invective Contra Medicum An Early Confrontation of Rhetoric and Medicine.pdf
TJQY45H6	IRLHZ75P	MISSING	0	0	lower-quality	Plný text
9HZIVN4H	DSDUXQPM	1463852	468	37085	identical-duplicate (keep first)	Antognini - 2008 - Il progetto autobiografico delle Familiares di Petrarca.pdf
9HZIVN4H	LEQYTMX6	1463852	468	37085	identical-duplicate (keep first)	Antognini - 2008 - Il progetto autobiografico delle Familiares di Petrarca.pdf
NYVSGLS7	M3KGNH8V	17315694	31	16170	identical-duplicate (keep first)	Belloni - 1982 - Giovanni Dondi, Albertino da Salso e le origini dello Studio pavese.pdf
TNTT3HIH	B3EJ79KS	1172294	11	5148	identical-duplicate (keep first)	Crisciani - 1986 - Filosofia E Medicina in Pietro D'abano Note Da Un Convegno.pdf
TNTT3HIH	9H7DMIPF	MISSING	0	0	lower-quality	Full Text PDF
4GQMRS8D	V84WJJ2L	423207	3	1365	identical-duplicate (keep first)	Crevatin - 1978 - Review of A letter of Giovanni Dondi dall'Orologio to fra' Guglielmo Centueri a fourteenth-century.pdf
4GQMRS8D	YY5UPMEK	423207	3	1365	identical-duplicate (keep first)	Crevatin - 1978 - Review of A letter of Giovanni Dondi dall'Orologio to fra' Guglielmo Centueri a fourteenth-century.pdf
BTKKCXY9	RPK2QA7I	891104	3	1149	identical-duplicate (keep first)	Poulle - 1987 - Plaidoyer Pour Dondi.pdf
BTKKCXY9	QHXH75K8	MISSING	0	0	lower-quality	Full Text PDF
7NJR86U9	3YNGM2DZ	35885172	184	84	lower-quality	Dondi dall'Orologio - Planetarium opus de fabrica horarii magistralis.pdf
7NJR86U9	895DHHBE	35885172	184	84	lower-quality	Dondi dall'Orologio - Planetarium opus de fabrica horarii magistralis.pdf
7NJR86U9	4XC8RW5I	71783939	330	0	lower-quality	Dondi dall'Orologio - Planetarium opus de fabrica horarii magistralis.pdf
7NJR86U9	SILY4D3A	MISSING	0	0	lower-quality	b19689718.ocr
RFQ6D5AX	YMYLT9S2	1662352	204	40137	identical-duplicate (keep first)	Milena Russo - 2024 - Le Rime di Giovanni Dondi dall’Orologio  I sonetti, le ballate e il madrigale di corrispondenza.pdf
RFQ6D5AX	8MDYXEF6	MISSING	0	0	lower-quality	PDF
E3YFKMWG	U3ED7BAS	5551172	13	3423	identical-duplicate (keep first)	Vlcek - 1979 - Karel IV., jeho telesne vlastnosti a zdravotni stav.pdf
E3YFKMWG	AU6P72S8	MISSING	0	0	lower-quality	Vlcek - 1979 - Karel IV., jeho telesne vlastnosti a zdravotni stav
HRQYNCAI	HA4RFVTD	4444146	116	38636	identical-duplicate (keep first)	Straka - 2017 - Tři vojenská tažení Karla IV. na území Svaté říše římské.pdf
HRQYNCAI	JJCNZQT6	MISSING	0	0	lower-quality	PDF
DI7SRV3V	WTCV6237	2936459	577	29445	identical-duplicate (keep first)	La Rosa - Per un commento alle senili di petrarca aspetti micro-testuali e macro-strutturali della raccolta.pdf
DI7SRV3V	JC62VFX6	MISSING	0	0	lower-quality	PDF
4DRK8HJC	P8S5QP9G	462136	9	5341	identical-duplicate (keep first)	Josefína Matyášová - REŠERŠE Dějiny lékařství v českých zemích ve středověku a raném novověku.pdf
4DRK8HJC	PJXPDNBL	MISSING	0	0	lower-quality	PDF
RIGN6SGB	ZMJMWFCP	1747419	107	51021	identical-duplicate (keep first)	Elenco - Manoscritti della Biblioteca Antica del Seminario Vescovile di Padova - 1.pdf
RIGN6SGB	CP2VCZ73	MISSING	0	0	lower-quality	PDF
EPI6ZUTV	M8TFXIZA	3204272	30	12344	identical-duplicate (keep first)	Tomasin - 2009 - La cultura testuale volgare nella Padova trecentesca.pdf
EPI6ZUTV	ZFMAW2FM	3204272	30	12344	identical-duplicate (keep first)	Tomasin - 2009 - La cultura testuale volgare nella Padova trecentesca.pdf
NACB4J6E	CDYSUFBR	1443882	27	6190	identical-duplicate (keep first)	Addomine et al. - 2018 - A Landmark in the History of Non-Circular Gears Design The Mechanical Masterpiece of Dondi's Astrar.pdf
NACB4J6E	PW6ANYKK	1443882	27	6190	identical-duplicate (keep first)	Addomine et al. - 2018 - A Landmark in the History of Non-Circular Gears Design The Mechanical Masterpiece of Dondi's Astrar.pdf
7HX5XZVI	59YAR5HB	6540847	6	5803	identical-duplicate (keep first)	Tiziana Pesenti - 1997 - Medici di corte e universita.pdf
7HX5XZVI	R4Q3Q4W2	6540847	6	5803	identical-duplicate (keep first)	Tiziana Pesenti - 1997 - Medici di corte e università. Medicina nei secoli. Arte e Scienza.pdf
5FWTS2TX	Q3EXUIMH	672255	50	19997	identical-duplicate (keep first)	Pesenti - 2000 - The Teaching of the Tegni in Italian Universities in the Second Half of the Fourteenth Century ().pdf
5FWTS2TX	QIEIHHIZ	672255	50	19997	identical-duplicate (keep first)	Pesenti - 2000 - The Teaching of the Tegni in Italian Universities in the Second Half of the Fourteenth Century ().pdf
E8PS5HL9	H9AP6UL9	411516	4	1757	identical-duplicate (keep first)	Guy - Johannis de Dondis, Paduani civis, Astrarium. T. 1, Fac-simile del manoscritto di Padova e traduzion.pdf
E8PS5HL9	P9UPDZCG	411516	4	1757	identical-duplicate (keep first)	Guy - 1988 - Johannis de Dondis, Paduani civis, Astrarium. T. 1, Fac-simile del manoscritto di Padova e traduzion.pdf
2QHCZBK6	FJKVXD3U	133410	4	1128	identical-duplicate (keep first)	Giovanni Dondi dall’Orologio, Tractatus astrarii.pdf
2QHCZBK6	PHTBTFDW	133410	4	1128	identical-duplicate (keep first)	Lejbowicz - 2008 - Giovanni Dondi dall’Orologio, Tractatus astrarii.pdf
GCLKURUB	MHN7NN32	1782270	70	21317	identical-duplicate (keep first)	Severýn - Dílo Philippa de Mézières (c. 1327 - 1405) jako historický pramen.pdf
GCLKURUB	QFIRQEPA	1782270	70	21317	identical-duplicate (keep first)	Severýn - Dílo Philippa de Mézières (c. 1327 - 1405) jako historický pramen.pdf
RHHYLVK9	HHGA8AEM	3599126	32	8769	identical-duplicate (keep first)	Nosonovsky - 2024 - Early Renaissance Concepts of Time and the Invention of Mechanical Clocks.pdf
RHHYLVK9	Z4ITDNH8	3599126	32	8769	identical-duplicate (keep first)	Nosonovsky - 2024 - Early Renaissance Concepts of Time and the Invention of Mechanical Clocks.pdf
6N53AKAQ	LHDTZTXF	6472528	464	41217	lower-quality	Dondi dall'Orologio a Poulle - 2003 - Tractatus astrarii.pdf
6N53AKAQ	LLQWYL4X	6472528	464	41217	lower-quality	Dondi dall'Orologio a Poulle - 2003 - Tractatus astrarii.pdf
VPDWF9D8	949QFZWG	36455048	99	0	lower-quality	Dondi dall'Orologio - Venezia, Biblioteca Nazionale Marciana, Lat. VIII, 17 (=2819).pdf
JP498W78	U6RJBWRU	638797	2	687	identical-duplicate (keep first)	W. Hallwich - 1861 - Die Nähmaschine von Joh. Hollub; beschrieben von W Hallwich..pdf
EUYA4VU2	MPM2BAHY	354670	8	0	identical-duplicate (keep first)	Hollub - Zweifade Steppstich Nähmaschine.pdf
C83QBUJC	YAPM6NTJ	960172	2	0	lower-quality	1866 - Tagesbote aus Böhmen.pdf
M55LEZXP	Y9NKPHVJ	1756170	3	82	identical-duplicate (keep first)	1867 - Nové hodiny na chrámu Páně.pdf
X3DS4K5P	ZWEPRWB2	314005	9	5718	identical-duplicate (keep first)	Martínek - Pravopis starších textů versus textový korpus k lingvistickým analýzám.pdf
35I9CVWL	W3FAKJJ9	2328202	6	0	identical-duplicate (keep first)	Josef Herr - 1861 - Zeitschrift des Österreichischer Ingenieur-Vereines.pdf
HCQH4M5S	JJN2Z7XC	1217805	6	0	identical-duplicate (keep first)	Johann Holrn - Verbeßerung der Glockensignal-Apparate.pdf
BFTHQ2MN	WNVC9AQ9	1992002	1	0	identical-duplicate (keep first)	Jan P. Holý - 2000 - Domažlický hodinář, mechanik a vynálezce Jan Norbert Holub.pdf
562RQD3E	KK9QATJH	2289622	6	0	identical-duplicate (keep first)	Hallwich - 1862 - Die patentirte Nähmaschine von Joh. Hollub..pdf
HB5A9DW7	GMIXVCFL	1232650	7	0	identical-duplicate (keep first)	Hollub - Verbeserung das Morseé'schen Schreib. Apparats.pdf
XHMAZ38P	F7V32R6P	1217805	6	0	identical-duplicate (keep first)	Johann Hollub - Verbeßerung der Glockensignal-Apparate für Eisenbahnen.pdf
